RMS_aX,Mean_aX,PSDPeak_aX,RMS_aY,Mean_aY,PSDPeak_aY,RMS_aZ,Mean_aZ,PSDPeak_aZ,RMS_gX,Mean_gX,PSDPeak_gX,RMS_gY,Mean_gY,PSDPeak_gY,RMS_gZ,Mean_gZ,PSDPeak_gZ
0.3615,-0.1403,1.42,0.4822,-0.0807,1.42,1.0071,1.0067,1.44,9.9242,2.4180,1.51,6.3720,1.0362,1.68,122.5542,27.2188,1.42
0.4015,-0.0462,1.47,0.5529,0.0149,1.42,1.0046,1.0041,1.48,6.5146,-0.3209,1.39,5.9415,0.5088,1.39,94.7628,-15.3375,1.42
0.3841,-0.0994,1.42,0.5711,-0.0284,1.45,1.0065,1.0062,1.41,5.7510,1.2846,1.45,4.2814,-0.1712,1.64,84.1515,7.3709,1.40
0.3580,-0.0322,1.46,0.5538,-0.0614,1.44,1.0008,1.0005,1.46,5.8098,0.0491,1.45,2.7412,0.2098,1.51,81.2273,-2.6798,1.44
0.3856,-0.0042,1.54,0.5735,-0.0399,1.53,1.0001,0.9997,1.55,5.4255,0.4563,1.55,3.5888,-0.1388,1.46,79.9510,2.1777,1.57
0.4105,-0.0478,1.60,0.6310,-0.1091,1.62,1.0010,1.0006,1.62,5.6309,0.2475,1.60,3.9817,0.2613,1.58,84.0173,1.5483,1.61
0.3382,-0.0664,1.32,0.5560,-0.0287,1.49,1.0035,1.0033,1.40,4.5551,0.7973,1.43,6.6501,-1.0958,3.09,62.7982,11.7655,1.49
0.4665,-0.0542,1.40,0.6270,-0.1217,1.46,1.0021,1.0016,1.40,7.6776,0.4578,1.49,8.6950,0.2403,3.52,117.9647,-1.0548,1.50
0.4373,-0.0869,1.58,0.6653,-0.0068,1.57,1.0065,1.0060,1.56,7.4942,-0.1769,1.52,3.5564,0.2189,1.73,95.6544,-5.3244,1.52
0.3948,-0.0416,1.50,0.4753,-0.1241,1.46,0.9994,0.9991,1.51,5.2812,0.5517,1.50,4.3676,0.2017,2.43,59.6158,6.6352,1.28
0.4302,0.0069,1.42,0.5542,-0.0403,1.43,0.9986,0.9981,1.45,5.5572,-0.6933,1.41,2.1867,0.4044,1.70,86.3715,-11.3502,1.41
0.4037,-0.0444,1.59,0.5573,-0.0195,1.57,1.0040,1.0036,1.58,5.9491,0.4277,1.64,4.5239,-0.0033,1.66,78.7136,0.1459,1.65
0.4793,-0.0496,1.51,0.6455,-0.1026,1.51,1.0009,1.0003,1.52,5.1197,0.6189,1.51,4.0681,0.2193,1.81,74.3148,5.6219,1.54
0.4637,-0.0216,1.57,0.6035,-0.0575,1.60,1.0001,0.9996,1.56,5.0928,0.0272,1.53,3.5974,0.0396,1.53,77.8496,-2.9755,1.55
0.4408,-0.0520,1.55,0.6074,-0.1004,1.50,1.0007,1.0002,1.53,6.3209,0.3409,1.56,3.6900,0.1245,3.15,90.7429,1.9660,1.57
0.4360,-0.0720,1.59,0.6251,-0.0451,1.57,1.0037,1.0031,1.55,8.2691,0.4478,1.55,4.7664,-0.3333,3.22,101.5220,5.1694,1.62
0.4138,-0.0531,1.61,0.5737,-0.0250,1.56,1.0022,1.0017,1.56,5.5698,-0.2465,1.54,2.2719,0.1979,3.08,87.3429,-4.5781,1.54
0.4606,-0.1210,1.64,0.6671,-0.0515,1.59,1.0065,1.0059,1.62,7.4436,1.4944,1.46,5.6056,-0.0415,2.98,113.2761,9.6917,1.46
0.3942,-0.0080,1.50,0.5906,-0.0993,1.50,0.9989,0.9985,1.48,6.7743,-0.1707,1.47,3.6580,0.5269,1.48,84.6346,-6.5293,1.46
0.4726,-0.1113,1.55,0.6842,-0.0506,1.58,1.0065,1.0060,1.54,7.7547,0.4797,1.57,5.1520,-0.1211,1.59,108.4707,2.0928,1.59
0.4798,-0.1126,1.60,0.7344,-0.0309,1.58,1.0063,1.0056,1.61,8.2926,0.0768,1.60,7.4646,0.2818,4.65,116.6138,-0.4768,1.63
0.3848,-0.0996,1.38,0.6029,-0.0543,1.49,1.0058,1.0053,1.44,5.4291,1.5006,1.40,7.8549,-0.6070,2.72,71.2482,12.7697,1.39
0.2722,0.0428,1.05,0.4250,0.0581,1.11,1.0000,0.9998,1.30,4.8726,-0.7119,1.25,4.9662,0.2131,1.62,60.7707,-15.4529,1.16
0.2606,0.0795,0.84,0.4443,-0.0621,1.18,0.9947,0.9945,0.87,5.9115,-1.0533,0.78,7.3653,0.5336,0.83,66.7914,-20.3042,0.85
0.2748,0.0124,1.06,0.4336,-0.1536,0.88,0.9958,0.9956,0.86,5.2906,0.0701,1.31,6.5934,1.2774,0.72,66.4241,-5.9824,1.13
0.2832,-0.0422,1.10,0.4179,-0.1541,0.87,0.9985,0.9983,1.10,4.9232,0.4220,1.17,3.3358,0.5817,1.13,62.1938,6.0182,0.99
0.2607,-0.0498,0.93,0.3900,-0.1239,0.93,0.9994,0.9992,1.06,4.5065,1.3642,0.90,2.9337,-0.0916,3.09,61.4914,20.1383,0.83
0.2406,-0.0605,0.96,0.3764,-0.1109,0.95,0.9996,0.9995,1.06,3.8278,-0.0906,0.90,3.4947,0.3285,1.01,51.8446,0.7267,0.73
0.1681,-0.0102,0.93,0.2477,-0.0546,1.60,0.9961,0.9959,1.35,11.0146,-0.4382,1.70,5.7523,0.3986,3.14,50.9610,12.3310,1.04
