aX,aY,aZ,gX,gY,gZ
-0.534,-0.052,-1.934,194.519,-46.082,-68.115
-0.437,0.014,-1.724,249.817,-53.162,-95.825
-0.326,0.061,-1.553,294.495,-62.439,-114.624
-0.109,0.179,-1.229,313.660,-67.383,-120.300
-0.014,0.217,-1.120,344.910,-74.646,-126.770
0.103,0.282,-0.945,358.459,-77.271,-125.916
0.116,0.324,-0.858,385.925,-81.604,-116.882
0.107,0.320,-0.703,395.142,-94.482,-113.586
0.088,0.305,-0.593,411.743,-134.827,-112.488
0.062,0.275,-0.374,418.152,-148.376,-113.647
0.059,0.297,-0.170,419.983,-142.334,-116.638
0.080,0.303,-0.089,403.198,-121.216,-117.920
0.146,0.298,-0.009,389.832,-111.145,-117.065
0.194,0.281,0.057,374.878,-99.792,-105.774
0.319,0.282,0.274,369.263,-98.145,-96.436
0.331,0.301,0.395,338.867,-78.552,-79.041
0.296,0.305,0.566,318.665,-63.049,-73.425
0.282,0.287,0.625,281.616,-53.345,-69.153
0.318,0.242,0.739,265.747,-55.420,-65.979
0.322,0.230,0.823,239.197,-51.636,-55.115
0.311,0.204,1.048,225.403,-47.241,-52.429
0.309,0.184,1.162,180.603,-43.640,-48.706
0.322,0.151,1.305,150.635,-43.945,-43.213
0.329,0.148,1.317,120.300,-41.870,-34.790
0.331,0.176,1.290,72.693,-21.301,-12.695
0.318,0.201,1.276,54.687,-7.996,-2.258
0.306,0.226,1.265,18.677,4.211,7.446
0.305,0.258,1.233,-1.465,2.869,7.263
0.323,0.272,1.204,-43.823,-3.296,7.446
0.386,0.322,1.099,-63.171,-1.465,11.108
0.412,0.355,1.018,-91.309,14.648,28.137
0.443,0.423,0.865,-100.098,23.804,39.429
0.441,0.447,0.826,-113.831,33.691,56.580
0.441,0.451,0.849,-124.207,27.100,56.946
0.450,0.444,0.913,-160.522,-8.850,45.288
0.441,0.393,1.009,-185.791,-20.935,43.579
0.401,0.365,0.983,-226.013,-3.967,67.383
0.292,0.370,0.852,-236.877,19.287,84.839
0.234,0.380,0.776,-260.193,53.772,106.506
0.164,0.406,0.658,-276.184,58.105,108.704
0.155,0.417,0.596,-322.266,46.997,98.083
0.143,0.419,0.403,-346.191,44.006,89.905
0.134,0.410,0.279,-373.840,64.941,82.397
0.159,0.352,-0.028,-379.822,86.609,85.510
0.183,0.324,-0.223,-383.484,103.455,95.703
0.141,0.361,-0.381,-365.417,116.211,131.470
-0.017,0.490,-0.514,-347.717,114.990,139.954
-0.076,0.506,-0.549,-337.402,74.829,117.615
-0.119,0.458,-0.654,-336.304,52.856,97.839
-0.131,0.428,-0.710,-322.327,51.636,72.815
-0.148,0.391,-0.849,-309.570,58.594,67.810
-0.141,0.348,-0.899,-275.452,59.814,69.031
-0.177,0.251,-1.040,-267.273,61.157,72.083
-0.236,0.269,-1.153,-259.766,64.331,63.110
-0.255,0.314,-1.325,-247.803,52.979,50.415
-0.214,0.314,-1.329,-205.505,-2.869,30.762
-0.113,0.301,-1.132,-183.838,-37.903,28.625
-0.126,0.276,-1.011,-165.955,-58.228,35.645
-0.250,0.226,-1.014,-169.250,-27.100,32.532
-0.261,0.213,-1.140,-179.749,45.471,15.137
-0.200,0.176,-1.446,-175.476,52.429,11.353
-0.135,0.159,-1.468,-134.949,15.442,10.681
-0.135,0.160,-1.440,-113.586,2.869,11.780
-0.115,0.178,-1.296,-87.891,15.381,10.437
-0.074,0.153,-1.185,-84.412,20.813,5.249
-0.067,0.154,-1.274,-81.726,25.330,3.906
-0.056,0.150,-1.429,-71.960,21.057,8.057
-0.067,0.156,-1.404,-39.734,-1.404,14.648
-0.115,0.163,-1.219,-27.100,-9.888,15.198
-0.123,0.160,-1.157,-21.484,-4.150,12.085
-0.118,0.190,-1.127,-22.583,4.395,9.766
-0.127,0.198,-1.125,-18.921,4.211,7.507
-0.174,0.196,-1.138,-14.038,-3.418,6.226
-0.187,0.197,-1.139,-2.014,-11.475,0.427
-0.181,0.205,-1.123,3.357,-13.611,-3.601
-0.155,0.193,-1.115,8.484,-19.226,-9.094
-0.097,0.175,-1.091,8.057,-20.264,-9.399
-0.081,0.174,-1.088,5.981,-16.479,-6.042
-0.074,0.174,-1.060,5.981,-14.282,-4.456
-0.078,0.178,-1.040,6.042,-11.597,-2.930
-0.096,0.192,-1.005,7.019,-11.414,-2.197
-0.105,0.193,-0.985,8.911,-8.789,-2.197
-0.112,0.187,-0.963,7.690,-5.432,-2.563
-0.114,0.184,-0.971,3.540,-3.113,-3.601
-0.113,0.177,-0.988,3.235,-3.601,-4.639
-0.104,0.167,-0.986,4.761,-3.662,-6.287
-0.078,0.152,-0.982,5.066,-4.028,-6.348
-0.072,0.159,-0.980,4.395,-7.263,-5.188
-0.065,0.175,-0.966,4.028,-8.240,-5.371
-0.058,0.177,-0.961,3.418,-6.348,-4.700
-0.046,0.183,-0.961,3.235,-5.005,-3.418
-0.047,0.184,-0.963,3.296,-1.587,-0.854
-0.062,0.179,-0.967,2.625,-0.488,-0.244
-0.075,0.183,-0.974,1.831,0.916,0.488
-0.095,0.189,-0.987,2.380,1.221,0.000
-0.094,0.189,-0.985,3.235,1.099,-1.221
-0.085,0.192,-0.973,3.967,-0.305,-2.686
-0.079,0.194,-0.969,3.296,-1.282,-2.808
-0.073,0.198,-0.964,1.831,-1.587,-3.235
-0.071,0.198,-0.961,1.465,-0.061,-3.235
-0.068,0.193,-0.970,0.305,0.549,-2.502
-0.060,0.190,-1.002,-0.061,1.465,-2.136
-0.057,0.194,-1.002,1.648,2.014,-2.319
-0.054,0.193,-0.992,2.441,1.282,-2.319
-0.054,0.196,-0.988,2.380,1.221,-1.099
-0.053,0.198,-0.979,1.160,0.427,-0.122
-0.059,0.199,-0.985,-1.099,-2.258,1.221
-0.068,0.203,-0.994,-0.732,-1.587,0.671
-0.068,0.202,-0.993,2.197,-0.427,-0.671
-0.060,0.188,-0.983,3.113,-0.916,-0.977
-0.059,0.186,-0.981,2.319,-0.793,0.427
-0.064,0.196,-0.978,1.770,-0.977,0.854
-0.066,0.198,-0.973,1.099,-2.686,0.549
-0.064,0.203,-0.960,0.916,-2.380,0.366
-0.064,0.203,-0.959,0.183,-0.671,-0.854
-0.052,0.186,-0.963,-0.427,-0.183,-0.854
-0.056,0.188,-0.970,-2.075,1.831,1.404
-0.073,0.205,-0.992,-1.953,1.831,1.221
-0.073,0.202,-0.995,0.488,0.732,-0.122

-0.415,0.208,-1.890,260.315,24.719,-91.248
-0.436,0.216,-1.764,318.726,8.057,-109.314
-0.454,0.209,-1.456,339.111,-2.869,-118.896
-0.404,0.199,-1.198,361.816,-24.170,-137.512
-0.333,0.255,-1.088,389.038,-21.301,-157.898
-0.137,0.295,-0.893,405.395,-18.494,-170.898
-0.038,0.247,-0.799,436.035,-21.179,-193.054
0.184,0.125,-0.496,426.453,-38.330,-180.725
0.308,0.216,-0.232,397.034,-59.143,-160.461
0.290,0.308,-0.192,348.511,-90.393,-132.874
0.266,0.331,-0.161,343.628,-97.046,-132.080
0.301,0.284,-0.122,352.112,-115.173,-137.146
0.392,0.239,0.012,357.056,-121.460,-135.010
0.407,0.240,0.114,366.577,-101.379,-125.427
0.433,0.224,0.341,363.037,-90.515,-120.422
0.432,0.239,0.447,330.078,-91.736,-104.553
0.381,0.258,0.590,305.298,-99.365,-96.924
0.354,0.241,0.645,270.752,-96.375,-87.463
0.356,0.167,0.725,263.977,-78.491,-81.909
0.349,0.124,0.798,250.732,-51.575,-65.552
0.294,0.080,1.036,235.779,-54.260,-61.340
0.283,0.049,1.126,186.707,-67.505,-64.514
0.264,-0.031,1.199,164.001,-67.017,-62.683
0.234,-0.056,1.268,134.888,-52.917,-50.415
0.214,-0.110,1.478,114.319,-44.861,-45.898
0.230,-0.139,1.534,53.528,-27.161,-36.499
0.288,-0.173,1.509,22.034,-18.677,-28.687
0.318,-0.172,1.480,-31.616,-7.507,-9.033
0.363,-0.091,1.386,-54.016,-0.610,2.808
0.375,-0.023,1.308,-94.421,13.367,26.367
0.402,0.118,1.088,-112.793,15.808,35.278
0.420,0.183,0.988,-127.136,15.320,41.138
0.438,0.272,0.920,-146.362,9.094,42.297
0.430,0.295,0.935,-156.738,3.967,41.260
0.418,0.301,0.961,-186.401,-2.197,40.588
0.387,0.260,0.931,-203.674,-2.808,41.260
0.373,0.242,0.900,-225.769,5.737,53.040
0.333,0.245,0.901,-238.525,10.559,60.791
0.320,0.253,0.889,-287.048,11.841,67.871
0.329,0.240,0.767,-315.918,11.719,69.214
0.331,0.238,0.696,-362.244,26.001,81.604
0.290,0.217,0.534,-381.836,42.786,93.567
0.252,0.190,0.401,-416.321,75.439,121.338
0.127,0.210,0.151,-427.246,84.167,132.874
0.091,0.235,0.037,-441.956,79.590,135.193
0.058,0.263,-0.215,-443.420,75.378,130.188
0.025,0.269,-0.301,-427.978,101.624,129.578
-0.095,0.280,-0.472,-426.819,112.671,129.395
-0.149,0.285,-0.619,-428.101,102.722,109.253
-0.180,0.271,-0.951,-412.964,96.069,96.558
-0.210,0.281,-1.063,-346.741,109.131,90.881
-0.284,0.280,-1.206,-318.115,107.422,86.731
-0.309,0.245,-1.260,-290.283,49.622,64.697
-0.311,0.180,-1.378,-280.945,15.686,53.711
-0.302,0.171,-1.417,-257.385,-10.132,33.691
-0.224,0.149,-1.504,-243.652,-12.390,24.048
-0.189,0.148,-1.517,-202.026,-29.480,13.367
-0.093,0.132,-1.434,-180.115,-46.387,11.292
-0.093,0.140,-1.384,-144.836,-62.988,16.174
-0.157,0.178,-1.403,-131.958,-43.640,14.404
-0.082,0.180,-1.334,-110.657,22.034,2.319
0.007,0.173,-1.417,-99.243,26.367,0.427
0.024,0.184,-1.429,-77.820,0.061,0.610
0.006,0.202,-1.333,-62.317,-1.770,1.648
0.015,0.194,-1.267,-42.847,-1.953,3.845
0.021,0.214,-1.234,-41.199,-10.193,7.019
-0.002,0.235,-1.227,-39.063,-16.418,9.521
-0.002,0.217,-1.296,-27.161,-11.475,7.263
0.036,0.194,-1.358,-9.766,-2.747,5.859
0.025,0.209,-1.310,-3.113,-6.897,7.080
-0.005,0.226,-1.238,1.343,-14.038,8.606
