RMS_aX,Mean_aX,PSDPeak_aX,RMS_aY,Mean_aY,PSDPeak_aY,RMS_aZ,Mean_aZ,PSDPeak_aZ,RMS_gX,Mean_gX,PSDPeak_gX,RMS_gY,Mean_gY,PSDPeak_gY,RMS_gZ,Mean_gZ,PSDPeak_gZ
0.9202,0.6995,1.07,1.0020,-0.1888,1.41,0.8234,0.5506,1.37,37.9167,4.8885,2.46,69.2661,2.2635,2.47,81.2927,-17.8237,1.94
0.8239,0.5982,1.45,1.0706,-0.3849,1.46,0.6928,0.3489,1.51,56.5450,7.7929,1.08,92.4960,-0.9303,2.97,109.5943,1.2450,1.51
0.9476,0.6983,3.31,1.1164,-0.2245,1.42,0.8671,0.3449,1.41,71.6793,-2.8410,6.32,75.1732,10.8628,1.78,103.4419,-13.1793,1.42
0.9957,0.8239,4.50,1.0525,-0.2563,1.50,0.8297,0.2915,1.49,71.5940,2.9559,9.10,90.8494,-11.0908,2.18,84.0148,14.2827,1.66
0.9507,0.7652,3.77,1.0633,-0.1041,1.37,0.8568,0.2965,1.34,75.9359,-9.9087,9.39,103.0731,8.4553,2.25,98.6842,-15.0037,1.27
0.9793,0.8067,4.08,0.9729,-0.2243,1.42,0.8813,0.2964,1.50,72.9335,8.4825,1.65,96.8063,-5.6973,1.57,87.2152,2.0547,1.43
0.9747,0.8098,3.79,0.9554,-0.2178,1.31,0.8012,0.3792,1.31,75.2581,-15.9593,1.32,59.6976,3.0484,1.57,99.8378,-19.6242,1.29
0.8619,0.6732,3.96,1.0275,-0.4005,1.23,0.7595,0.1148,1.20,100.4872,-0.3943,6.29,131.2195,0.1435,2.38,91.6155,-3.3083,1.27
1.0875,0.8690,3.80,0.9614,-0.2299,1.35,0.8127,0.2483,1.26,111.8379,-19.0239,0.87,95.0073,11.5938,2.33,98.6778,-12.3029,1.18
0.9443,0.7924,2.06,0.9727,-0.3240,1.37,0.6900,0.1027,1.33,71.6318,8.9502,1.37,85.4785,11.6820,2.58,91.4897,-0.9394,1.37
1.1027,0.9316,1.50,0.9474,-0.0709,1.48,0.5931,0.2440,1.50,73.9995,-13.4945,1.56,65.4621,0.1383,3.07,89.0197,-14.0538,1.65
0.9064,0.7623,3.97,1.0208,-0.3802,1.23,0.7589,-0.0465,1.21,105.8717,-0.7420,1.28,108.5993,0.3066,1.25,84.8079,-3.5310,1.45
0.9988,0.8744,3.30,0.9684,-0.0089,1.35,0.7360,0.2651,1.46,69.5931,14.6756,1.69,81.0170,-16.4385,2.54,70.5790,13.3834,1.39
0.9651,0.7956,3.88,1.0752,-0.2707,1.30,0.7109,0.0276,1.35,94.4781,-5.7855,1.64,89.0902,0.1645,2.28,93.7122,-8.9345,1.16
0.9432,0.7984,3.55,1.0668,-0.1014,1.36,0.8110,0.2162,1.42,94.4841,9.6707,2.21,105.7800,-15.7099,1.42,83.6657,15.8510,1.24
0.9895,0.8009,3.80,1.1448,-0.1273,1.36,0.6962,0.1299,1.36,78.9233,-12.3639,7.59,102.6853,0.4911,2.83,102.1979,-13.7167,1.33
0.9050,0.8064,2.56,1.1216,-0.1329,1.49,0.6422,0.1076,1.52,59.5404,-1.8535,2.88,71.7164,-10.9076,3.85,99.8740,17.9534,1.54
0.9436,0.6519,3.99,1.3038,-0.2302,1.41,0.8694,0.2806,1.29,74.8299,-5.7764,1.75,124.9183,-7.2532,0.96,111.2259,-16.9754,1.64
1.2719,0.4119,4.98,1.8602,-0.1705,1.67,1.0896,0.3427,1.72,102.0014,17.1452,11.43,181.4009,-17.4689,4.75,189.9899,-18.2857,1.75
1.2060,0.2000,4.90,2.0948,-0.4012,1.70,1.3872,0.3989,1.70,135.7872,14.3619,5.46,251.6262,32.9170,3.24,206.8715,-21.0009,1.72
1.0270,0.1099,5.69,2.0759,-0.3763,1.79,1.5569,0.3050,1.72,112.7950,5.7812,15.10,243.1408,-1.8291,1.76,212.0215,11.7164,1.81
0.6696,0.5467,4.63,1.1190,0.1371,1.39,0.8898,0.6399,1.29,42.4494,-0.3791,4.59,87.8289,-20.4415,2.32,113.5714,15.3480,1.46
1.0417,0.5374,4.02,1.4054,-0.3544,1.08,0.9015,0.3344,1.12,94.6749,10.1318,10.31,163.2120,14.9226,2.28,142.8572,-16.9048,0.95
1.0286,0.6591,3.73,1.2729,-0.3009,0.91,0.8190,0.1916,0.85,83.7949,-4.5533,3.99,165.8656,21.0128,2.43,124.9922,-8.1453,1.02
