RMS_aX,Mean_aX,PSDPeak_aX,RMS_aY,Mean_aY,PSDPeak_aY,RMS_aZ,Mean_aZ,PSDPeak_aZ,RMS_gX,Mean_gX,PSDPeak_gX,RMS_gY,Mean_gY,PSDPeak_gY,RMS_gZ,Mean_gZ,PSDPeak_gZ
0.1500,0.0905,2.26,0.1630,-0.0170,1.53,1.3499,1.0725,1.79,67.2062,-6.2490,1.64,68.0215,-1.4186,1.84,21.2141,-3.1648,1.73
0.0850,0.0391,0.87,0.1890,-0.0403,3.23,1.1907,0.9663,1.91,55.4085,1.5235,2.19,47.2971,-1.2827,2.27,11.7957,-0.1540,3.66
0.2193,0.1000,1.36,0.2037,-0.0735,3.41,1.9342,1.2149,1.75,107.3788,-4.3740,1.78,72.5804,-3.1676,1.70,17.9691,4.7731,1.75
0.1775,0.0949,3.15,0.2344,-0.0311,1.62,1.8045,1.1164,1.73,110.1834,-10.1590,1.75,85.3985,1.1458,1.75,15.5961,-2.2731,3.34
0.1886,0.1060,1.91,0.3002,-0.0332,3.19,1.6446,0.9953,1.69,105.3534,-6.8679,1.71,90.2748,-11.9166,1.71,25.6997,4.6682,1.77
0.2050,0.1157,1.74,0.2275,-0.0125,1.90,1.7542,1.1079,1.80,110.7389,7.3719,1.77,100.0115,1.9889,1.83,28.3517,-1.8048,1.88
0.1030,-0.0243,2.51,0.1778,0.0564,0.96,1.3428,0.9080,1.42,77.9143,-11.4732,1.54,52.8156,-9.3336,1.22,18.5191,7.4463,0.90
0.1035,0.0571,0.97,0.1756,0.0551,2.68,1.4161,1.1498,1.21,64.7907,-8.4062,1.18,62.7833,-4.9047,1.35,14.5274,2.0194,2.19
0.1514,0.0599,1.40,0.1317,0.0236,1.65,1.2169,0.7952,1.36,72.0766,-4.1833,1.45,61.4722,-5.4069,1.36,21.9944,-1.3518,1.40
0.1328,0.0448,0.89,0.1583,0.0458,0.97,1.3846,1.1515,0.91,71.8645,-10.3345,0.97,73.5040,-12.4812,1.23,10.7644,1.2269,1.25
0.1396,0.0967,1.10,0.1394,0.0159,2.98,1.2615,0.8559,1.25,75.9522,-17.1709,1.30,59.9241,-8.3971,1.16,19.5289,1.6336,1.18
0.1825,0.0771,1.51,0.1486,0.0191,2.26,1.3705,1.1642,0.89,77.1733,-4.8375,1.07,76.7095,-16.6721,1.37,14.8017,-3.6688,1.30
0.1450,0.0677,3.11,0.1469,0.0447,2.83,1.2564,0.9755,1.15,70.4330,-20.1840,0.95,54.2934,-17.2639,0.81,13.3563,-0.3343,0.57
0.1209,0.0698,2.49,0.1354,-0.0304,3.04,1.3976,1.0584,1.40,77.7109,-17.9849,1.35,66.2283,-18.3735,1.44,9.6981,-0.1431,2.16
0.1446,0.0768,0.81,0.1883,0.0348,2.57,1.1270,0.7533,1.04,72.3702,-5.8632,1.25,73.6397,-0.6666,1.14,20.1422,-1.4000,0.95
0.1613,0.0961,0.82,0.1509,0.0099,2.36,1.4404,1.1254,1.38,85.4035,-16.0146,1.49,62.5669,-17.0975,1.45,15.6906,3.2868,2.48
0.0821,-0.0071,2.34,0.1614,-0.0178,3.08,1.2157,0.8004,1.40,89.1469,8.0795,1.45,42.3500,3.8848,1.48,11.7521,-4.1718,2.60
0.1421,0.0488,1.57,0.1878,-0.0098,2.91,1.4816,1.0077,1.39,87.3816,-10.1519,1.38,73.2623,-11.2200,1.42,21.6970,-3.7494,1.89
0.1641,-0.0001,1.51,0.1323,-0.0588,1.71,1.3505,0.9649,1.48,65.3474,-6.8555,1.44,83.2996,-12.9795,1.46,16.3508,1.0171,1.46
0.1608,-0.1181,1.74,0.2100,-0.1092,3.05,1.2422,1.0015,1.50,61.2076,-18.7063,1.61,90.7395,-3.8733,1.51,18.4289,-1.8315,3.30
0.1198,-0.0442,1.57,0.1384,-0.0015,2.68,1.1840,0.8179,1.38,77.4104,1.2383,1.43,74.7257,-0.4034,1.44,12.6092,-0.7815,2.99
0.1255,0.0200,1.05,0.1856,-0.0319,2.00,1.3682,1.1326,1.19,62.7686,-5.8823,1.31,48.8508,-2.1629,1.36,12.1535,-1.6141,1.00
0.0917,0.0181,1.43,0.2026,-0.0664,1.70,1.2542,0.9108,1.25,68.6665,-19.5189,1.21,47.0514,-8.3814,1.20,11.2041,1.1549,1.68
