RMS_aX,Mean_aX,PSDPeak_aX,RMS_aY,Mean_aY,PSDPeak_aY,RMS_aZ,Mean_aZ,PSDPeak_aZ,RMS_gX,Mean_gX,PSDPeak_gX,RMS_gY,Mean_gY,PSDPeak_gY,RMS_gZ,Mean_gZ,PSDPeak_gZ
0.6932,0.5301,2.41,1.2744,-0.2707,1.21,0.4865,-0.1103,1.18,137.4714,-0.8264,1.35,64.5329,8.4505,1.63,140.9609,10.8867,1.29
0.8252,0.6102,2.33,1.4282,-0.3116,1.30,0.2077,-0.0609,2.40,113.3956,17.0641,1.27,40.6473,14.7014,2.19,144.6717,48.3298,1.09
0.8479,0.5889,2.44,1.3342,-0.1547,1.35,0.3000,-0.0928,3.69,103.1804,-35.7881,1.11,52.5920,-4.8566,2.41,156.9993,-27.8997,1.26
0.6947,0.1900,2.95,1.9424,0.0602,1.54,0.3707,0.1376,1.78,150.9857,15.3756,1.48,75.9454,16.5219,1.70,237.8143,27.4267,1.53
0.7581,0.3681,2.71,1.4151,-0.3331,1.29,0.3166,-0.0452,1.37,151.7385,-45.8813,1.20,85.8294,15.9359,1.62,150.6715,-39.5813,1.23
0.7346,0.4137,2.82,1.5594,-0.5362,1.52,0.3819,-0.1094,1.10,122.2682,-19.2089,1.44,71.4261,0.6213,1.84,187.4092,9.6459,1.46
0.5865,0.2797,0.97,1.4631,-0.3774,1.50,0.4654,-0.1014,1.04,111.3801,-2.4319,1.35,87.6361,-4.4503,1.65,218.5568,5.7983,1.41
0.7399,0.6688,0.94,1.0419,0.2811,7.03,0.1939,-0.0098,15.55,74.3262,23.2811,0.96,29.1378,-9.7952,1.01,124.7847,41.2106,0.95
0.5814,0.3213,3.30,1.7746,-0.1161,1.67,0.4105,0.0921,1.78,131.2817,-2.1696,1.73,93.1700,9.1095,1.58,239.4496,22.4891,1.62
0.6217,0.3981,2.93,1.5918,-0.0291,1.58,0.2878,-0.0302,4.79,155.7207,0.7005,1.62,45.7471,-3.7327,2.27,208.6379,18.7678,1.54
0.4485,0.2006,3.12,1.7501,0.0300,1.60,0.3199,-0.0143,1.54,139.6389,5.6252,1.58,57.5731,13.0229,1.49,255.2648,-1.2083,1.58
0.4076,0.2132,3.13,1.8607,-0.2838,1.65,0.3373,-0.0142,1.71,149.2973,5.4507,1.74,73.8809,11.7469,1.57,253.7824,24.3983,1.61
0.3502,0.1768,1.47,1.6955,-0.0797,1.62,0.3015,-0.0062,1.54,114.6811,-6.2056,1.66,62.2407,1.5659,1.55,272.9661,-3.8156,1.60
0.3855,0.0931,1.50,1.8074,-0.0618,1.62,0.3329,0.0682,1.60,118.2428,9.4595,1.63,68.4158,10.0975,1.54,299.2153,4.7307,1.61
0.4500,-0.3482,2.53,2.0163,0.1399,1.45,0.4438,0.0874,1.44,136.2929,22.0866,1.39,90.9096,11.0054,1.51,323.5554,73.0739,1.40
0.4504,-0.3885,2.59,1.8920,0.0213,1.34,0.5853,0.0536,1.27,185.7816,-59.9694,1.19,109.8245,34.8549,1.03,310.1360,-85.4630,1.11
0.8540,-0.7470,5.41,1.9562,-0.0795,1.38,0.5275,-0.0205,1.39,177.5711,15.0247,1.37,108.3148,-8.5492,1.37,417.4132,84.8675,1.32
0.9357,-0.8145,1.46,1.9915,-0.0234,1.50,0.5346,-0.0621,1.49,159.3276,-23.0160,1.46,108.4243,2.8567,1.53,448.0676,-32.2199,1.51
0.6687,-0.4850,3.23,1.9881,0.1401,1.55,0.6237,0.0739,1.52,188.3482,-9.3989,1.50,144.1919,12.3072,1.56,352.4273,-14.4682,1.57
0.7722,-0.4667,1.42,1.9671,0.1171,1.43,0.7616,0.1986,1.46,203.2570,-23.5348,1.45,174.9795,29.0494,1.40,356.2585,-7.8859,1.39
0.7160,-0.4183,1.46,1.9285,0.0919,1.54,0.7794,0.1623,1.50,182.3841,-30.1762,1.53,191.1462,28.0099,1.46,325.3427,-15.2411,1.50
0.4379,-0.1384,3.16,1.7990,0.3028,1.49,0.5370,0.0367,1.53,154.6882,2.7347,1.52,123.6797,6.5703,1.47,322.7651,23.4714,1.49
0.6887,0.4122,0.74,1.1901,-0.0199,1.09,0.3745,-0.1882,2.79,112.7617,-24.8680,-0.81,60.6703,2.5964,0.04,201.9448,-4.2057,1.29
